es,en,scores,qualify,Espanish_length,English_length,zero,uno,dos,zero,uno,dos
Acá les ponen hasta sueldo 🤣😅,Here they even pay them 🤣😅,-0.1027,negative,29,26,0.44567270303299644,0.06749999999999999,0.057971014492753624,0.44567270303299644,0.06749999999999999,0.057971014492753624
👏👏👏👏,👏👏👏👏,0.0,neutral,4,4,0.5027219197866905,0.005,0.004830917874396135,0.5027219197866905,0.005,0.004830917874396135
Acá deberían construir una en vichada o Vaupés que ni señal tengan y que cultivén su propio alimentó,Here they should build one in Vichada or Vaupés that doesn't even have a sign and that grows its own food,0.0,neutral,100,105,0.5027219197866905,0.245,0.24879227053140093,0.5027219197866905,0.245,0.24879227053140093
Lástima Colombia no tener ese presidente😢,Too bad Colombia doesn't have that president😢,-0.5423,negative,41,45,0.2014776135984891,0.0975,0.10386473429951691,0.2014776135984891,0.0975,0.10386473429951691
"@gustavopetrourrego siga el ejemplo de un presidente de verdad con los pantalones bien puestos, no como usted que la guerrilla y la delincuencia se lo tiene adentro","@gustavopetrourrego follow the example of a real president with his pants on, not like you who have it inside the guerilla and crime",-0.6818,negative,164,132,0.1239862237529164,0.405,0.31400966183574874,0.1239862237529164,0.405,0.31400966183574874
👏👏👏👏👏👏 lo que este país necesita pa q dejen de inventarse los gestores de paz 🙄🙄,👏👏👏👏👏👏 what this country needs to stop inventing peace managers 🙄🙄,0.3182,positive,80,66,0.6794800577713589,0.195,0.15458937198067632,0.6794800577713589,0.195,0.15458937198067632
"Mientras Bukele construye cárceles, Petro busca liberar presos de las cárceles que hayan cometido delitos menores, que son esos mismos que roban celulares, bolsos, motos etc en las calles y que tienen azotados a los colombianos en su día a día. #Diferencias.","While Bukele builds prisons, Petro seeks to release prisoners from prisons who have committed minor crimes, which are the same ones who steal cell phones, bags, motorcycles, etc. in the streets and who have Colombians whipped on a daily basis. #Differences.",-0.6597,negative,258,257,0.136262637484724,0.64,0.6159420289855072,0.136262637484724,0.64,0.6159420289855072
Mientras el gobierno petro pensando dejar libre a los delicuentes con salario mínimo,While the petro government is thinking of letting criminals go free with minimum wage,-0.1027,negative,84,85,0.44567270303299644,0.205,0.20048309178743962,0.44567270303299644,0.205,0.20048309178743962
Con terroristas no se negocea👏 aqui que los grupos armados han hecho mil veces lo mismo que es desmovilizar cabecillas mientras se deja un brazo armado a titulo de dicidencias no dejan de delinquir ni narcotraficar y usan el vehiculo de la paz para canar territorio y fortalecerse.Les siguen creyendo ese cuento de paz.,"You don't negotiate with terrorists 👏 here that the armed groups have done the same thing a thousand times, which is to demobilize leaders while leaving an armed arm as a decision, they do not stop committing crimes or drug trafficking and use the vehicle of peace to destroy territory and strengthen themselves. They continue to believe that tale of peace.",0.8677,positive,319,357,0.984723919564493,0.7925,0.8574879227053139,0.984723919564493,0.7925,0.8574879227053139
🙌🙌🙌,🙌🙌🙌,0.0,neutral,3,3,0.5027219197866905,0.0024999999999999996,0.002415458937198067,0.5027219197866905,0.0024999999999999996,0.002415458937198067
