es,en,scores,qualify
Un presidente de verdad 👏👏👏,A real president 👏👏👏,0.0,neutral
Que los pongas a trabajar,That you put them to work,0.0,neutral
Este si las tiene bien puestas con este precidente si es posible la paz total,This one does have them well set with this precedent if total peace is possible,0.6808,positive
Acá con esta corrupción coimas y demás ni en 10 años terminan esa construcción ...,Here with this corruption bribes and others not even in 10 years finish that construction...,0.0,neutral
Aqui deberian hacer eso,Here they should do that,0.0,neutral
El de Colombia antes los apoya los suelta y les da plata grande cambio el de Colombia 😂😂,"The one from Colombia supports them before he lets them go and gives them big money, the one from Colombia 😂😂",0.3612,positive
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
Duro con las 🐭 cómo tiene que ser,Hard with the 🐭 how it has to be,-0.1027,negative
"Asi deberia de ser, pero que contruyan otra mas grande y que los pongan a produccir comida, que ahi saquen comida para la gente pobre subsidiada por el gobierno,,, miren todo espacio qi","That's how it should be, but that they build another bigger one and that they put them to produce food, that there they take out food for the poor people subsidized by the government,,, look at all the space that",-0.631,negative
Necesitamos este presidente en Colombia,We need this president in Colombia,0.0,neutral
Dios lo bendiga 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪,God bless you 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪,0.5994,positive
@gustavopetrourrego @gustavo_bolivar mis muñeques hermoses !!,@gustavopetrourrego @gustavo_bolivar my beautiful dolls!!,0.6688,positive
ese si es un presidente de verdad 👏👏👏👏,that is a real president 👏👏👏👏,0.0,neutral
Joda el mejor,fuck the best,0.1779,positive
👏,👏,0.0,neutral
Como debe ser,As it should be,0.0,neutral
👏👏👏,👏👏👏,0.0,neutral
🙌🙌👏👏👏👏👏👏👏🙌🔥,🙌🙌👏👏👏👏👏👏👏🙌🔥,0.0,neutral
Será que él no quiere venir a construir una aquí así en colombia eso es lo que necesita este país . Cero de compasión con los que matan violan y hacen daño a un ser humano eso no tiene perdón no más derechos de nada . Mire@ya donde vamos el presidente se atreve a sacar de la cárcel a los que tienen el país vuelto nada,"Maybe he doesn't want to come and build one here in Colombia, that's what this country needs. Zero compassion for those who kill, rape and hurt a human being that has no forgiveness, no more rights to anything. Mire@ya where we are going the president dares to get out of jail those who have the country turned into nothing",-0.9235,negative
@nayibbukele mi admiración para UD..Dios lo siga bendiciendo grandemente el salvador va encaminado a ser uno de los mejores vídeos del mundo 🙌🔥,"@nayibbukele my admiration for you. God continue to bless you greatly, the savior is on the way to being one of the best videos in the world 🙌🔥",0.9118,positive
👏👏👏,👏👏👏,0.0,neutral
Ese si es un presidente,That is a president,0.0,neutral
Excelente 👏👏👏👏 este presidente lo necesitamos urgente en Colombia,Excellent 👏👏👏👏 we urgently need this president in Colombia,0.5719,positive
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
Cuando se le da el verdadero valor a la resiliencia y no a la delincuencia👏👏👏👏,When true value is given to resilience and not crime 👏👏👏👏,0.7935,positive
"Coooge.. y acá ni Damier.. todo lo contrario, ""liberarlos"".","Coooge... and not even Damier here... quite the opposite, ""liberate them"".",0.0,neutral
El orden y la vida del pueblo se coloca el orden y Paz.Gran.medida ejemplo.a latinoamericana,The order and the life of the town is placed the order and Peace. Great.measure example.a Latin American,0.5423,positive
Esto si es un presidente¡,This is a president!,0.0,neutral
"Aquí los guardan 3 años o 1 techo,comida,celulares y sexo gratis...👏","Here they keep them for 3 years or 1 roof, food, cell phones and free sex...👏",0.5106,positive
"Y acá pensando en las cárceles hotel, donde podrán ir a descansar después de atracar, digo, trabajar todo el día 🤡","And here thinking about the hotel prisons, where they can go to rest after docking, I mean, work all day 🤡",0.0,neutral
👏👏asi debe ser!! A ver si aprenden en Colombia a gobernar,👏👏 that's how it should be!! Let's see if they learn to govern in Colombia,0.0,neutral
Ejemplo para la región y el país. Aqui los dejan libres por falta de espacio o por ser amigos de Petro 🤷🏽‍♂️,Example for region and country. Here they are released due to lack of space or for being friends of Petro 🤷🏽‍♂️,0.2023,positive
👏👏👏👏,👏👏👏👏,0.0,neutral
@nayibbukele colombia te necesita!,@nayibbukele Colombia needs you!,0.0,neutral
👏👏👏💪💪💪,👏👏👏💪💪💪,0.0,neutral
Así de sencillo,As simple as that,0.0,neutral
Faltan más nayib bukele en el mundo.. a lo mejor la historia sería distinta,There are more nayib bukele in the world... maybe the story would be different,0.0,neutral
"Tal vez ahora sea un buen presidente y este solucionando lo que todos deseamos en un país, pero en unos años será un dictador y no dejará el poder así no más 👀👀👀, amanecerá y veremos.....................","Maybe now he is a good president and he is solving what we all want in a country, but in a few years he will be a dictator and he will not leave power just like that 👀👀👀, it will dawn and we will see.......... ............",0.7409,positive
Aquí en Colombia quieren que salgan a trabajar y vuelvan en la noche ... Quieren darle un sueldo... Quieren darle un puesto en el gobierno... Y bukele quiere hacer respetar su país ...,Here in Colombia they want you to go out to work and come back at night... They want to give you a salary... They want to give you a position in the government... And bukele wants to make his country respected...,0.2263,positive
👏👏👏,👏👏👏,0.0,neutral
Si supieran que este tipo es el brazo político de los pandilleros! La desilusión que se van a pegar será epica . 🙄🙄🙄,If they knew that this guy is the political arm of the gang members! The disappointment that they are going to hit will be epic. 🙄🙄🙄,-0.5562,negative
Aquí en Colombia necesitamos una Urgente,Here in Colombia we need an Urgent,0.2023,positive
👏🏽👏🏽👏🏽,👏🏽👏🏽👏🏽,0.0,neutral
"Estarán incomunicados del mundo exterior...un gran proyecto, pero no veo hablar de resocialización...es un centro de torturas?","They will be cut off from the outside world... a great project, but I don't see talk of resocialization... is it a torture center?",-0.6542,negative
"Aquí los van a soltar y les van a pagar para que sigan delinquiendo porque hay que re socializa, ahí vamos pais 🇨🇴,","Here they are going to release them and they are going to pay them to continue committing crimes because they have to re-socialize, here we go country 🇨🇴,",-0.0258,negative
❤️❤️❤️❤️❤️❤️❤️,❤️❤️❤️❤️❤️❤️❤️,0.0,neutral
"Excelente, ese es el presidente que necesitamos acá en Colombia no el m@m@rrach0 que escogieron","Excellent, that is the president we need here in Colombia, not the m@m@rrach0 they chose",0.5719,positive
CRACK👏,CRACK👏,0.0,neutral
El mejor presidente de latino América👏es este señor aquí los quieres dejar salir a trabajar y quizás regresen de noche a dormir 🙄😑🤦‍♂️,"The best president of Latin America👏is this man, here you want to let them go out to work and maybe they will come back to sleep at night🙄😑🤦‍♂️",0.6705,positive
"La cárcel que deberían construir en colombia para los "" gestores de paz""","The prison that should be built in Colombia for the ""peace managers""",0.0516,positive
@gustavopetrourrego aprenda 🤡,@gustavopetrourrego learn 🤡,0.0,neutral
Se parece a la cárcel de fundación jajaja @jenytapiap,It looks like the foundation jail hahaha @jenytapiap,0.7269,positive
Pero aquí las quieren acabar.,But here they want to end them.,0.1154,positive
👏👏👏 que bn,👏👏👏 how nice,0.4215,positive
Excelente! Necesitamos alguien así de presidente en colombia 🇨🇴,Great! We need someone like this for president in Colombia 🇨🇴,0.784,positive
👏👏👏,👏👏👏,0.0,neutral
👏👏👏,👏👏👏,0.0,neutral
Señor @nayibbukele puede ser por favor presidente de Colombia? 🙏🏻 Gracias!,Mr. @nayibbukele can you please be the president of Colombia? 🙏🏻 Thank you!,0.6239,positive
"Que envidia de el salvador tienen un excelente presidente, cosas que nunca pasarán aquí en colombia que desilusión.","How envious of El Salvador, they have an excellent president, things that will never happen here in Colombia, what a disappointment.",-0.1779,negative
😮👏👏👏👏👏,😮👏👏👏👏👏,0.0,neutral
Ese es ese es ese es,that is that is that is,0.0,neutral
Acá en “LOCOMBIA” los quieren dejar en libertad.,"Here in ""LOCOMBIA"" they want to release them.",0.0772,positive
Ese ejemplo se debía copiar para Collombia.A ver si los encierran de una vez por todas.Micho pillo haciendo daño,That example should be copied for Collombia. Let's see if they lock them up once and for all. Micho I catch doing damage,-0.4939,negative
Ojalá en colombia emularan eso,Hopefully in Colombia they emulate that,0.4019,positive
Que belleza!!!👏👏👏,What a beauty!!!👏👏👏,0.0,neutral
Pétrosky aprenda que es administrar justicia cuando alguien le hace daño a la sociedad allí es donde debe ir a pagar. Pueblo salvadoreño hagamos un cambio de presidente por 4 años 😂😂😂😂😂,"Pétrosky learns what it is to administer justice when someone harms society, that is where he must go to pay. Salvadoran people let's make a change of president for 4 years 😂😂😂😂😂",-0.0516,negative
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
❤️,❤️,0.0,neutral
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
Cojan Ejemplo,take example,0.0,neutral
"Señ9r Presidente Petro: aprenda, la vaina no es liberándolos, es de contruir más cárceles... Sinquiere póngalos a trabar/rehabilitar; pero dentro de las cárceles. A otros sáquelos, pero a construir infraestructura","Mr. President Petro: learn, the point is not to release them, it's to build more prisons... Don't want to put them to work/rehabilitate; But inside prisons. Take others out, but build infrastructure",-0.0626,negative
"Bukele, te necesitamos como presidente de Colombia por favor 🙏","Bukele, we need you as the president of Colombia please 🙏",0.3182,positive
VEN BUKELE,COME BUKELE,0.0,neutral
Acá hay un TAPARO que los Premia y quiere sacar a recoger basura..... 🤔,Here's a COVER that rewards them and wants to pick up trash..... 🤔,0.4767,positive
👏👏👏,👏👏👏,0.0,neutral
"Necesitamos un NAYIB BUKELE que libere al pueblo de los violentos... que no los premie y que mejor negocie con la gente buena, no con delincuentes.","We need a NAYIB BUKELE that frees the people from the violent... that does not reward them and that better negotiate with good people, not with criminals.",0.7906,positive
-40.000 gestores de paz… 😢,"-40,000 peace managers... 😢",0.5423,positive
"Y nuestro presidente Petro quiere es sentarlos a la mesa, darles beneficios, casita - mandarlos de paseo a cuba Venezuela. Viva mi presidente petro","And our President Petro wants to sit them down at the table, give them benefits, a little house - send them on a trip to Cuba, Venezuela. long live my president petro",0.3818,positive
Y acá disque toca soltarlos porque no hay mas solución para descongestionar las cárceles...bendita justicia colombiana 😂😂😂,And here it is time to release them because there is no other solution to decongest the prisons...blessed Colombian justice 😂😂😂,0.5423,positive
"Este si es serio, nada de demagogia ni circo, hechos y acciones, ojalá Colombia prendiera algo de ello","This is serious, no demagogy or circus, facts and actions, I hope Colombia catches something of it",0.1027,positive
👏👏👏,👏👏👏,0.0,neutral
👏🏼👏🏼👏🏼👏🏼👏🏼,👏🏼👏🏼👏🏼👏🏼👏🏼,0.0,neutral
Amo los finales felices.,I love happy endings.,0.836,positive
Bukele 👏🏻👏🏻👏🏻👏🏻referente estrella para latinoAmerica y el mundo entero,Bukele 👏🏻👏🏻👏🏻👏🏻 star reference for Latin America and the whole world,0.0,neutral
"Los necesitamos en toda Latinoamérica.. Gran presidente @nayibbukele

Dios los bendiga","We need you all over Latin America.. Great president @nayibbukele

God bless you",0.8402,positive
👏👏👏👏👏👏,👏👏👏👏👏👏,0.0,neutral
Esto si es bonito 👏,This is pretty 👏,0.4939,positive
Fantástico y a la vez peligroso,Fantastic and dangerous at the same time,0.128,positive
Acá los llaman gestores de paz y le dan 1 millón mensual 🤣,Here they call them peace managers and they give them 1 million a month 🤣,0.5423,positive
👏👏👏👏👏👏👏,👏👏👏👏👏👏👏,0.0,neutral
"Que envidia , presidente ven a Colombia","What envy, President, come to Colombia",-0.2732,negative
No sabe lo que hace ! Jaja aquí serían 40.000 Gestores de Paz 😂,"He doesn't know what he's doing! Haha here would be 40,000 Peace Managers 😂",0.7777,positive
Aprendan Petro y su ministro de justicia,Learn Petro and his minister of justice,0.5267,positive
Toma nota @gustavopetrourrego y aprende,Take note @gustavopetrourrego and learn,0.0,neutral
Necesitamos un Bukele urgente en Colombia,We urgently need a Bukele in Colombia,0.0,neutral
👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,0.0,neutral
👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏,0.0,neutral
Súper así debería ser en colombia 🇨🇴,This is how it should be in Colombia 🇨🇴,0.0,neutral
Que hagan una así en Colombia para todos los gestores de paz.,Make one like this in Colombia for all peace managers.,0.7184,positive
Se manda de presidente en Colombia y queda por 8 años 😂😂😂,He is sent as president in Colombia and remains for 8 years 😂😂😂,0.0,neutral
Ídolo ídolo 🔥,idol idol 🔥,0.0,neutral
@angela_td_,@angela_td_,0.0,neutral
El que falta acá 🔥,The one that is missing here 🔥,-0.296,negative
Acá necesitamos como 20 de esas y obviamente otro presidente que no los quiera sacar a la calle,Here we need about 20 of those and obviously another president who does not want to take them out on the streets,-0.0572,negative
👏👏👏,👏👏👏,0.0,neutral
Ejemplo a seguir!,Example to follow!,0.0,neutral
😍😍😍😍,😍😍😍😍,0.0,neutral
Excelente ejemplo👏👏👏,Excellent example 👏👏👏,0.5719,positive
Aprenda Gustavo Petro,Learn Gustavo Petro,0.0,neutral
🦾,🦾,0.0,neutral
Maravilloso 👏👏👏 y como tiene que ser,Wonderful 👏👏👏 and how it should be,0.5719,positive
Así debe ser acá en Colombia,This is how it should be here in Colombia,0.0,neutral
Ojala aqui fuera igual,I wish it was the same here,0.4019,positive
"SI EL SALVADOR PUEDE HACER UNA CARCEL MODERNA Y DE ALTA SEGURIDAD, COLOMBIA NO DEBE QUEDARSE ATRAS Y HACER LOS MISMOS DISEÑOS","IF EL SALVADOR CAN MAKE A MODERN AND HIGH SECURITY PRISON, COLOMBIA SHOULD NOT BE LEFT BEHIND AND MAKE THE SAME DESIGNS",-0.2263,negative
"en menos de 1 año se pudo construir dicha infraestructura, ¿que pasaría si aca en colombia se construyese algo así ? (cosa que no pasaría por ahora) habría trabas con contratistas y demás obstaculos que impediría su tiempo limite de construcción y lo de siempre: white elephant","In less than 1 year it was possible to build this infrastructure, what would happen if something like this was built here in Colombia? (which would not happen for now) there would be obstacles with contractors and other obstacles that would prevent its construction time limit and the usual: white elephant",-0.3818,negative
👏👏👏👏👏👏 excelente presidente,👏👏👏👏👏👏 excellent president,0.5719,positive
"Yo no creo q un garabito,como otros, cambien, así tengan la biblia bajo el brazo,eso es un sofisma de distracción.
Dios mío en q irá a qdar nuestro país,Colombia .","I don't think that a garabito, like others, will change, even if they have the Bible under their arms, that's a distracting sophistry.
My God, where will our country, Colombia, end up?",0.34,positive
¿Por qué 😔 NO hemos tenido un presidente así?🔥,Why 😔 have we NOT had a president like this?🔥,-0.2755,negative
Ciudad justicia. Alguien en Colombia tenía esa idea,Justice city. Someone in Colombia had that idea,0.5267,positive
👏👏👏,👏👏👏,0.0,neutral
👏👏👏👏👏👏,👏👏👏👏👏👏,0.0,neutral
👏👏👏👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏👏👏👏,0.0,neutral
Que dicha un presidente así en nuestro pais😢,What a joy a president like this in our country 😢,0.743,positive
Excelente,Great,0.6249,positive
"Allá los meten presos y les dan castigos, acá los sueltan y los premian 😮","There they put them in jail and punish them, here they release them and reward them 😮",0.0772,positive
@claudialopezcl @gustavopetrourrego será q algún día en vez de rehabilitar a la gente q ha tenido mil oportunidades podremos pensar en la sociedad q como ustedes quiere prosperar y salir a las calles sin temor a morir por la delincuencia. Un ejemplo de persona y de loq se hace por la sociad es esto .,@claudialopezcl @gustavopetrourrego It will be that one day instead of rehabilitating people who have had a thousand opportunities we will be able to think of a society that like you wants to prosper and take to the streets without fear of dying from crime. An example of a person and of what is done by the society is this.,0.4986,positive
Y en Colombia los quieren dejar libres,And in Colombia they want to set them free,0.5574,positive
👏👏👏👏👏👏👏👏👏 este ejemplo lo debe de seguir Colombia.,👏👏👏👏👏👏👏👏👏 Colombia must follow this example.,0.0,neutral
Que rico en Colombia una de esas para meter todos los políticos ladrones y creo que se queda pequeña 😂😂😂,How delicious in Colombia one of those to put all the political thieves in and I think it's too small 😂😂😂,0.1027,positive
El mundo está mal repartido. Cuando termine en el salvador. Porfavor dese una vuela por la casa de Nariño en Bogotá.,The world is divided badly. When I finish in El Salvador. Please take a tour of Nariño's house in Bogotá.,-0.2023,negative
Colombia necesita uno así!!!!,Colombia needs one like this!!!!,0.5673,positive
Y si en Colombia adoptemos el Sistema Federal solo para Justicia? A ver si algo cambia en cada rincón de Colombia.,And if in Colombia we adopt the Federal System only for Justice? Let's see if something changes in every corner of Colombia.,0.6249,positive
En la PM JAJAJAJ,In the PM HAHAHAHA,0.0,neutral
👏👏👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏👏👏,0.0,neutral
👏👏👏🙌😮😮😮,👏👏👏🙌😮😮😮,0.0,neutral
"En mi país ya no se llamarán criminales, con eso mi presidente Petro acabará con el crimen.
¡Arriba locombia 🫠!","In my country they will no longer be called criminals, with that my president Petro will put an end to crime.
Up locombia 🫠!",-0.8655,negative
Hay que traerlo a Colombia,You have to bring it to Colombia,0.0,neutral
"@nayibbukele Presi, ven a préstamo a colombia un par de meses!!! 🙏🏼🙏🏼🙏🏼","@nayibbukele Presi, come to Colombia on a loan for a couple of months!!! 🙏🏼🙏🏼🙏🏼",0.0,neutral
Un presidente así para todos los países porfavaaaarrrrr,A president like this for all countries please aaaarrrrr,0.5859,positive
Porque mi presidente no es así 😢,Because my president is not like that 😢,-0.2755,negative
"Este es un líder con huevas y pantalones , lo que le falta a muchos del poder aquí en colombina","This is a leader with roe and pants, what many of the power here in Colombia lack",-0.3182,negative
"Puro populismo, como si con eso se fuera acabar o disminuir la delincuencia 🤦🏻","Pure populism, as if that would end or reduce crime 🤦🏻",-0.5423,negative
Y con tantas pruebas de robós billonarios y asesinatos de los uriratas y ni uno presos solo impunidad no jodaaa,"And with so much evidence of robbery of billionaires and murders of the uriratas and not one prisoner, just impunity, no jodaaa",-0.5187,negative
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
🙌🙌🙌,🙌🙌🙌,0.0,neutral
En #Venezuela los pandilleros son ministros y diputados.,"In #Venezuela, gang members are ministers and deputies.",0.0,neutral
😂😂,😂😂,0.0,neutral
En Bogotá necesitamos una así,In Bogota we need one like this,0.3612,positive
Se hace necesario que así como hacen estás cárceles también se les pueda brindar programas de reinserción y estudios para que tengan otra visión social,"It is necessary that just as these prisons do, they can also be offered reinsertion programs and studies so that they have another social vision",0.25,positive
"Este Sr. Es diciendo y haciendo, un fuera de serie total. Destacada su gestión como MANDATARIO... y lo más importante es que le está regresando la dignidad y limpia el nombre de su país con cada paso que da. Excelente","This Mr. Is saying and doing, a total out of series. His management as MANDATORY is outstanding... and the most important thing is that he is restoring his dignity and cleansing the name of his country with every step he takes. Great",0.9027,positive
En Colombia con la plata q brota de toda parte deberían hacer lo mismo. Creo que todos los presos de Colombia independientes de su estrato y rango deben pagar cárcel en las mismas condiciones de la gente más humilde. No debe haber diferencias ya que están por lo mismo por cometer delitos. Q se acaben las prevendas,"In Colombia, with the money that flows from everywhere, they should do the same. I believe that all prisoners in Colombia, regardless of their stratum and rank, must pay prison terms under the same conditions as the humblest people. There should be no differences since they are for the same reason for committing crimes. That the pre-sales are over",-0.836,negative
Que buen ejemplo aprenda Sr Petro …..,What a good example Mr. Petro learns…..,0.4404,positive
Acá los piensan dejar salir entre el día y que vuelvan en la noche a la cárcel 😂,Here they plan to let them out during the day and return to jail at night 😂,0.0,neutral
👏👏👏👏,👏👏👏👏,0.0,neutral
Que vaina lindaaaaaaa,What a beautiful pod,0.5994,positive
Hoy conocí la envidia 😢,Today I met envy 😢,-0.2732,negative
"Y acá hacen leyes para sacarlos de la cárcel, porque pobrecitos, ellos si tienen derechos humanos 🙊","And here they make laws to get them out of jail, because poor things, they do have human rights 🙊",-0.4767,negative
En Colombia tendríamos que hacer por ahí 200 de esas y así nos queda faltando,In Colombia we would have to do around 200 of these and that is how we are missing,-0.296,negative
Diferencia de un gobierno q no roba .un año una cárcel gigante .en Colombia todavía usan cais para meter sabandijas,Difference of a government that does not rob a giant prison for a year. In Colombia they still use cais to put vermin,0.6834,positive
Yo no lo conozco pero lo amo😍,I don't know him but I love him,0.7783,positive
"Cumplido lo prometido, excelente gobierno este....👏🏼","Fulfilled what was promised, excellent government this.... 👏🏼",0.8402,positive
@nayibbukele así es la vaina,@nayibbukele that's the pod,0.0,neutral
🙌🙌🙌👏👏 que venga a gobernar a colombia,🙌🙌🙌👏👏 come to govern Colombia,0.0,neutral
Viva Bukele,Long live Bukele,0.0,neutral
Colomba!!!!!! TOMA NOTA,colomba!!!!!! TAKE NOTE,0.0,neutral
Hagan gárgaras min de justicia e inpec.,Gargle min justice and inpec.,0.5267,positive
Lo queremos en Colombia.,We want him in Colombia.,0.0772,positive
Allá si tienen presidente!,There they do have a president!,0.0,neutral
Éste señor si es un buen Presidente. No como el guerrillero aquel,This gentleman is a good President. Not like that guerrilla,0.1999,positive
Éste señor si es un presidente no como el guerrillero aquel,"This gentleman is a president, not like that guerrilla fighter",-0.1306,negative
Excelente 👏👏👏👏👏,Excellent 👏👏👏👏👏,0.5719,positive
"Antes de lanzar juicios apresurados sobre los aciertos y desaciertos de los mandatarios, primero se debe contemplar el contexto socio cultural que implica implantar políticas de seguridad nacional y su relación con el espacio territorial","Before launching hasty judgments about the successes and failures of the leaders, one must first consider the socio-cultural context that implies implementing national security policies and their relationship with the territorial space",0.4588,positive
"El presidente de Colombia quieres es echarlos para la calle y sigan delinquiendo, porque no se puede ver de otra manera","The president of Colombia wants to throw them out on the streets and continue committing crimes, because you can't see it any other way",0.0772,positive
Bien lo que le hace falta a Colombia,Well what Colombia needs,0.2732,positive
👏👏👏👏,👏👏👏👏,0.0,neutral
Eso si es tener inteligencia no este señor de aca que se las quiere tirar de tan intelecto y tiene esto un mierdero,"That is to have intelligence, not this gentleman here who wants to throw away such intellect and this is a piece of shit",0.3612,positive
Este man es un guerrero de Dios,This man is a warrior of God,0.2732,positive
EXCELENTE 👏👏👏👏👏👏👏👏,EXCELLENT 👏👏👏👏👏👏👏👏,0.6633,positive
👏👏👏👏,👏👏👏👏,0.0,neutral
"Un presidente así en colombia necesitamos urgentemente, no acaben con nuestra paz. El futuro de nuestros hijos.","We urgently need a president like this in Colombia, do not end our peace. The future of our children.",-0.09,negative
🙌🙌🙌🙌🙌🙌,🙌🙌🙌🙌🙌🙌,0.0,neutral
Y locombia pa cuando ? 🙌,And locombia for when? 🙌,0.0,neutral
"Y aquí el ministrico les quiere dar alojamiento en las casas ..., Claro en la de él no","And here the minister wants to give them accommodation in the houses... Of course, not in his",0.0,neutral
Ese es ese es 🦾🦾🦾,That is that is 🦾🦾🦾,0.0,neutral
@gustavopetrourrego coje ejemplo papa lindo 🙌,@gustavopetrourrego take an example cute dad 🙌,0.4588,positive
Ojala @gustavopetrourrego se anime,I hope @gustavopetrourrego is encouraged,0.6597,positive
👏👏👏,👏👏👏,0.0,neutral
En Colombia cuando,In Colombia when,0.0,neutral
Súper un bukele es lo q necesitamos en colombia . En vez de subsidios para crear más delincuencia como lo q hace el gobierno de petro .,A super bukele is what we need in Colombia. Instead of subsidies to create more crime like what the petro government does.,0.6105,positive
Igualito en colombia 😂,Same in Colombia 😂,0.0,neutral
"Y aquí en mi hermoso país, lo van a premiar y sacar a las calles, será que no aprenden de ese presidente...","And here in my beautiful country, they are going to reward him and take to the streets, it will be that they do not learn from that president...",0.8225,positive
👏👏👏👏 que paguen caro 🔥🔥🔥🔥,👏👏👏👏 they pay dearly 🔥🔥🔥🔥,0.34,positive
👏,👏,0.0,neutral
En Colombia los llaman gestores de paz y les regalan un millón de pesos a costillas de los contribuyentes. Bukele presidente de toda America.,In Colombia they call them peace managers and give them a million pesos at the expense of taxpayers. Bukele president of all America.,0.5423,positive
Aquí en Colombia el mesías los quiere sacar para que sean gestores de paz pero bueno para sus borregos el da cátedra en todos los temas.,"Here in Colombia, the messiah wants to take them out so that they can be peace managers, but good for his sheep, he gives a lecture on all subjects.",0.7269,positive
"Y aquí los quieren volver ""gestores de paz"".","And here they want to turn them into ""peace managers.""",0.5859,positive
👏👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏👏,0.0,neutral
Petro coja ejemplo serví pa algo hombre,Petro take an example I served for something man,0.0,neutral
Toma ejemplo petro eso es loq nececita este país acciones contundentes contra la delincuencia,"Take an example, Petro, that is what this country needs, forceful actions against crime",-0.5423,negative
Por más Bukele en este mundo 🌎 👏👏👏,For more Bukele in this world 🌎 👏👏👏,0.0,neutral
Ufff que dicha un Nayib para Colombiaaa… este señor deberia ser clonable,Ufff what a wonderful Nayib for Colombia... this man should be clonable,0.5719,positive
Y el gobierno de acá sacándolos!!!!!!,And the government here taking them out!!!!!!,0.0,neutral
"Petro, mira, escucha lo que hace un verdadero Presidente que quiere la seguridad de su país. No sacarlos y darles plata los premias para que sigan delinquiendo.","Petro, look, listen to what a true President who wants the security of his country does. Do not take them out and give them money, you reward them so that they continue to commit crimes.",0.8779,positive
😂😂 y aquí lo contrario dejarlos salir relax 😂,😂😂 and here the opposite is to let them relax 😂,0.4404,positive
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
Eso sí es invertir bien la plata del estado,That is to invest the state's money well,0.2732,positive
👏,👏,0.0,neutral
Y en colombia los sueltan y dan premio por dañar el país disq nuestro presidente guerrillero 😩,And in Colombia they are released and rewarded for damaging the country as our guerrilla president 😩,-0.0258,negative
👏👏👏👏👏👏,👏👏👏👏👏👏,0.0,neutral
Ese es el que necesitamos en Colombia👏👏,That is the one we need in Colombia👏👏,0.0,neutral
40mil gestores de paz 🤔,40 thousand peace managers 🤔,0.5423,positive
Lo mejor,The best,0.6369,positive
Y aquí armando colectivos para que lo cuiden,And here putting together collectives to take care of it,0.4939,positive
Y en cambio aquí en la platanera los quieren dejar libres ..... 🤡🤡🤡🤡🤡,And instead here in the banana plantation they want to set them free..... 🤡🤡🤡🤡🤡,0.0772,positive
Excelente Servicio!,Excellent service!,0.6114,positive
MI DOTOR URIBE Y PORKI VOLVIERON GESTORES DE PAZ AL ELN Y LES DIERON MÁS DE 10 MILLONES Y LLORAN LOS URIBESTIAS,MY DOCTOR URIBE AND PORKY RETURNED PEACE MANAGERS TO THE ELN AND GAVE THEM MORE THAN 10 MILLION AND THE URIBESTIAS CRY,0.1027,positive
Eso es lo que tienen que hacer acá,That's what they have to do here,0.0,neutral
"👏👏👏La juventud siempre se impone.. Lean bien, viejitos 👆🏼","👏👏👏 Youth always prevails.. Read well, oldies 👆🏼",0.2732,positive
"Hace falta que hagan lo mismo en Colombia. Las vigile el ejército y nada de celulares, televisores , whisky, prostitutas. 😂😂😂😂😂 Que buen presidente tienen. Felicitaciones.","They need to do the same in Colombia. They are watched by the army and no cell phones, televisions, whiskey, prostitutes. 😂😂😂😂😂 What a good president they have. Congratulations.",0.6808,positive
Esto es lo que se necesita en Colombia.,This is what is needed in Colombia.,0.0,neutral
Brutal,Brutal,-0.6249,negative
Aquí los sueltan y les ponen sueldo jajajajaja,Here they release them and pay them hahahahaha,-0.1027,negative
Deberíamos traer a ese presidente a Colombia para que le enseñe a nuestro presidente cómo ser presidente,We should bring that president to Colombia to teach our president how to be president,0.0,neutral
👏,👏,0.0,neutral
Acá se roban los planos de la cárcel y hacen un túnel para que se escapen los presos jajaj,Here the prison plans are stolen and they make a tunnel for the prisoners to escape hahaha,-0.6705,negative
👏👏👏,👏👏👏,0.0,neutral
"Felicitaciones presidente bukele, lo contrario en Colombia con petro 40 mil criminales a la calle como gestores de paz para que petro forme los colectivos para la dictadura.","Congratulations President Bukele, the opposite in Colombia with petro 40 thousand criminals to the streets as peace managers for petro to form the groups for the dictatorship.",0.5719,positive
"en colombia deberían hacer la misma,una con capacidad para 40 mil uribistas y se arregla el país.","in colombia they should do the same, one with a capacity for 40 thousand uribistas and the country is fixed.",0.0,neutral
